id,product_name,price,rating,ratings_count,reviews_count,features,brand,processor,ram_gb,storage_gb,Cluster
1,Samsung Galaxy Book4 Edge Series Copilot Ai-Pc Full Metal Chasis Qualcomm Snapdragon X - (16 Gb/512 Gb...,59550.0,4.4,2345,207,Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home and Student 2024 | 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,Samsung,Qualcomm Snapdragon,16,16,1
2,Motorola Motobook 60 Full Metal Oled (I5 14Th Gen) Intel Core 5 (Series 2) 210H - (16 Gb/512 Gb Ssd/Wi...,49990.0,4.4,2314,260,Intel Core 5 (Series 2) Processor | 16 GB DDR5 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Office Home 2024 | 1 Year Onsite Warranty,Motorola,Other,16,16,1
3,Acer Aspire 3 Intel Celeron Dual Core - (8 Gb/512 Gb Ssd/Windows 11 Home) A311-45 Thin And Light Lapto...,23590.0,3.8,7961,696,Intel Celeron Dual Core Processor | 8 GB DDR4 RAM | 64 bit Windows 11 Home Operating System | 512 GB SSD | 29.46 cm (11.6 Inch) Display | 1 Year Warranty,Acer,Intel Celeron,8,8,1
4,Samsung Galaxy Book4 Metal Intel Core I7 13Th Gen 1355U - (16 Gb/512 Gb Ssd/Windows 11 Home) Np750Xgj-...,57570.0,4.4,4754,308,Intel Core i7 Processor (13th Gen) | 16 GB LPDDR4X RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,Samsung,Intel Core i7,16,16,1
5,Samsung Galaxy Book5 Ai Metal Intel Core Ultra 5 225U - (16 Gb/512 Gb Ssd/Windows 11 Home) Np750Xhd Th...,68390.0,4.6,434,46,Intel Core Ultra 5 Processor | 16 GB LPDDR5X RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home and Student 2024 | 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,Samsung,Other,16,16,1
6,"Asus Vivobook S14 (2025) With Office 2024 + M365 Basic*, Ai Pc, Backlit Keyboard, Qualcomm Snapdragon ...",59990.0,4.5,815,59,"Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps | 1 Year Onsite Warranty",Asus,Qualcomm Snapdragon,16,16,1
7,Lenovo Ideapad Pro 5 Intel Core Ultra 9 285H - (32 Gb/1 Tb Ssd/Windows 11 Home) 14Iah10 Thin And Light...,108990.0,4.2,6,0,Intel Core Ultra 9 Processor | 32 GB LPDDR5X RAM | Windows 11 Home Operating System | 1 TB SSD | 35.56 cm (14 Inch) Display | 1 Year Onsite Warranty,Lenovo,Other,32,32,1
8,Acer Aspire 15 Amd Ryzen 5 Hexa Core 7430U - (16 Gb/512 Gb Ssd/Windows 11 Home) Aspire As15-42 Thin An...,38990.0,4.1,3310,325,AMD Ryzen 5 Hexa Core Processor | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Carry-in Warranty,Acer,AMD Ryzen,16,16,1
9,Lenovo Ideapad Slim 3 Intel Core I5 12Th Gen 12450H - (16 Gb/512 Gb Ssd/Windows 11 Home) 15Iah8 Thin A...,46990.0,4.2,662,40,Intel Core i5 Processor (12th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Warranty,Lenovo,Intel Core i5,16,16,1
10,Asus Vivobook Go 15 Amd Ryzen 3 Quad Core 7320U - (8 Gb/512 Gb Ssd/Windows 11 Home) E1504Fa-Nj131Ws | ...,32190.0,4.3,1722,115,AMD Ryzen 3 Quad Core Processor | 8 GB LPDDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 + Microsoft 365 Basic | 1 Year Onsite Warranty,Asus,AMD Ryzen,8,8,1
11,Hp 15S Metal Intel Core I3 13Th Gen 1315U - (8 Gb/512 Gb Ssd/Windows 11 Home) 15-Hr0005Tu Thin And Lig...,41990.0,4.3,38,2,Intel Core i3 Processor (13th Gen) | 8 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home 2024 + MISC PC Game Pass DA 3M | 1 Year Onsite Warranty,Hp,Intel Core i3,8,8,1
12,Dell Inspiron 15 Mso'24 With Backlit Keyboard And Fingerprint Sensor Intel Core I5 13Th Gen 1334U - (1...,61990.0,4.2,410,20,"Intel Core i5 Processor (13th Gen) | 16 GB DDR4 RAM | 64 bit Windows 11 Operating System | 1 TB SSD | 38.1 cm (15 Inch) Display | My Dell (Dell Power Manager,Dell Support Assist) | 1 Year Onsite Hardware Service",Dell,Intel Core i5,16,16,1
13,Asus Chromebook Cx15 Intel Celeron Dual Core N4500 - (4 Gb/64 Gb Emmc Storage/Chrome Os) Cx1505Cka-S70...,17990.0,4.1,63,5,Intel Celeron Dual Core Processor | 4 GB LPDDR4X RAM | Chrome Operating System | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty,Asus,Intel Celeron,4,4,1
14,Lenovo Ideapad 3 Chrome Intel Celeron Dual Core N4500 - (8 Gb/128 Gb Emmc Storage/Chrome Os) 15Ijl6 Ch...,30790.0,3.5,137,9,Intel Celeron Dual Core Processor | 8 GB LPDDR4X RAM | Chrome Operating System | 39.62 cm (15.6 Inch) Display | 1 Year Carry-in Warranty,Lenovo,Intel Celeron,8,8,1
15,Asus Vivobook 15 (2025) With Office 2024 + M365 Basic* Intel Core I3 13Th Gen - (8 Gb/512 Gb Ssd/Windo...,35990.0,4.2,853,50,Intel Core i3 Processor (13th Gen) | 8 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 + Microsoft 365 Basic | 1 Year Onsite Warranty,Asus,Intel Core i3,8,8,1
16,Hp Omnibook 7 Aero (Previously Pavilion) Amd Ryzen Ai 7 Octa Core Ai 7 350 - (16 Gb/512 Gb Ssd/Windows...,69990.0,3.9,50,4,AMD Ryzen AI 7 Octa Core Processor | 16 GB LPDDR5X RAM | Windows 11 Operating System | 512 GB SSD | 33.78 cm (13.3 Inch) Display | 1 Year Onsite Service,Hp,AMD Ryzen,16,16,1
17,Prittec Intel Celeron Dual Core N4200 - (8 Gb/256 Gb Ssd/Windows 11 Home) N140P01 Laptop,17998.0,4.3,8,4,Intel Celeron Dual Core Processor | 8 GB DDR4 RAM | Windows 11 Operating System | 256 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Manufacturer Warranty,Other,Intel Celeron,8,8,1
18,Samsung Galaxy Book4 Metal Intel Core I5 13Th Gen 1335U - (16 Gb/512 Gb Ssd/Windows 11 Home) Np750Xgj ...,51990.0,4.4,15581,1237,Intel Core i5 Processor (13th Gen) | 16 GB LPDDR4X RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,Samsung,Intel Core i5,16,16,1
19,Motorola Motobook 60 Full Metal Oled (I7 14Th Gen) Intel Core 7 (Series 2) 240H - (16 Gb/1 Tb Ssd/Wind...,61990.0,4.4,765,84,Intel Core 7 (Series 2) Processor | 16 GB DDR5 RAM | 64 bit Windows 11 Operating System | 1 TB SSD | 35.56 cm (14 Inch) Display | Office Home 2024 | 1 Year Onsite Warranty,Motorola,Other,16,16,1
20,Hp 14 Ai Pc Intel Core Ultra 7 155H - (16 Gb/512 Gb Ssd/Windows 11 Home) 14-Gr1036Tu Thin And Light La...,76990.0,4.2,358,31,Intel Core Ultra 7 Processor | 16 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Onsite Warranty,Hp,Other,16,16,1
21,Acer Aspire 3 Backlit Amd Ryzen 7 Octa Core 7730U - (16 Gb/1 Tb Ssd/Windows 11 Home) A325-42 / As15-42...,46990.0,4.1,1657,125,AMD Ryzen 7 Octa Core Processor | 16 GB DDR4 RAM | Windows 11 Operating System | 1 TB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Carry-in Warranty,Acer,AMD Ryzen,16,16,1
22,Acer Aspire 3 Intel Celeron Dual Core - (8 Gb/256 Gb Ssd/Windows 11 Home) A311-45 Thin And Light Lapto...,19590.0,3.8,7961,696,Intel Celeron Dual Core Processor | 8 GB DDR4 RAM | 64 bit Windows 11 Home Operating System | 256 GB SSD | 29.46 cm (11.6 Inch) Display | 1 Year Warranty,Acer,Intel Celeron,8,8,1
23,Dell 15 Amd Ryzen 5 Hexa Core 7530U - (16 Gb/512 Gb Ssd/Windows 11 Home) 3535 Thin And Light Laptop,42990.0,4.3,2545,172,"AMD Ryzen 5 Hexa Core Processor | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | My Dell (Dell Power Manager,Dell Support Assist) | 1 Year Onsite Warranty",Dell,AMD Ryzen,16,16,1
24,Asus Vivobook Go 14 (2025) With Office 2024 + M365 Basic* Amd Ryzen 3 Quad Core 7320U - (8 Gb/512 Gb S...,31990.0,4.2,3105,278,"AMD Ryzen 3 Quad Core Processor | 8 GB LPDDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year | 1 Year Onsite Warranty",Asus,AMD Ryzen,8,8,1
25,"Asus Vivobook 15, With Backlit Keyboard, Intel Core I3 13Th Gen 1315U - (16 Gb/512 Gb Ssd/Windows 11 H...",38800.0,4.3,2371,146,Intel Core i3 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 + Microsoft 365 Basic | 1 Year Onsite Warranty,Asus,Intel Core i3,16,16,1
26,Lenovo Loq Essential Intel Core I7 12650Hx - (16 Gb/512 Gb Ssd/Windows 11 Home/6 Gb Graphics/Nvidia Ge...,79990.0,4.5,24,1,Intel Core i7 Processor | 16 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Carry-in Warranty,Lenovo,Intel Core i7,16,16,1
27,Dell 15 Intel Core I3 13Th Gen 1305U - (16 Gb/512 Gb Ssd/Windows 11 Home) 3530 Thin And Light Laptop,42990.0,4.2,599,42,"Intel Core i3 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office H&S 2024, My Dell (Dell Power Manager, Dell Support Assist) | 1 Year Onsite Hardware Service",Dell,Intel Core i3,16,16,1
28,Hp Laptop Intel Core I3 13Th Gen 1315U - (8 Gb/512 Gb Ssd/Windows 11 Home) 15-Fd0129Tu / 15-Fd0568Tu T...,39990.0,4.2,2532,151,Intel Core i3 Processor (13th Gen) | 8 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Carry-in Warranty,Hp,Intel Core i3,8,8,1
29,"Asus Vivobook S15, A-Part Metal Body, Backlit Keyboard, Intel Core I9 13Th Gen 13900H - (16 Gb/512 Gb ...",72990.0,4.4,160,13,Intel Core i9 Processor (13th Gen) | 16 GB LPDDR5 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty,Asus,Other,16,16,1
